City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,valera,9.3178,-70.6036,25.29,91,99,0.99,VE,1681761305
1,corrente,-3.7367,-43.3394,26.0,90,100,0.91,BR,1681761306
2,mataura,-46.1927,168.8643,11.38,96,100,0.5,NZ,1681761307
3,avarua,-21.2078,-159.775,26.03,57,55,6.17,CK,1681761308
4,rikitea,-23.1203,-134.9692,26.36,82,100,6.13,PF,1681761308
5,chokurdakh,70.6333,147.9167,-20.87,100,100,1.87,RU,1681761308
6,nova odesa,47.3078,31.7851,9.38,68,100,5.96,UA,1681761308
7,hermanus,-34.4187,19.2345,15.53,83,0,2.02,ZA,1681761309
8,xai-xai,-25.0519,33.6442,19.33,85,0,3.73,MZ,1681761309
9,tiksi,71.6872,128.8694,-17.51,100,100,1.97,RU,1681761309
10,bengkulu,-3.8004,102.2655,24.56,89,93,1.63,ID,1681761310
11,bethel,41.3712,-73.414,17.14,83,100,3.09,US,1681761310
12,hamina,60.5697,27.1979,7.6,88,100,2.65,FI,1681761311
13,new norfolk,-42.7826,147.0587,9.28,78,90,0.45,AU,1681761311
14,puerto ayora,-0.7393,-90.3518,28.98,89,95,3.13,EC,1681761312
15,poum,-20.2333,164.0167,26.18,81,73,9.38,NC,1681761312
16,omboue,-1.5746,9.2618,26.52,87,92,2.68,GA,1681761312
17,port alfred,-33.5906,26.891,20.86,58,0,0.87,ZA,1681761312
18,vaini,-21.2,-175.2,23.09,100,100,6.17,TO,1681761313
19,iqaluit,63.7506,-68.5145,-13.15,71,40,10.29,CA,1681761313
20,faya,18.3851,42.4509,17.06,58,0,2.63,SA,1681761313
21,talnakh,69.4865,88.3972,-15.44,80,42,1.56,RU,1681761314
22,saint george,37.1041,-113.5841,27.46,18,0,2.06,US,1681761117
23,vao,-22.6667,167.4833,26.29,86,100,3.39,NC,1681761314
24,jamestown,42.097,-79.2353,5.57,91,100,6.71,US,1681761072
25,olafsvik,64.8945,-23.7142,7.37,92,100,8.67,IS,1681761315
26,lebu,-37.6167,-73.65,12.59,62,18,7.8,CL,1681761315
27,albany,42.6001,-73.9662,11.14,89,100,0.89,US,1681760770
28,cabo san lucas,22.8909,-109.9124,29.78,54,2,3.13,MX,1681761022
29,jumla,29.2747,82.1838,10.24,51,6,2.14,NP,1681761316
30,qui nhon,13.7667,109.2333,24.76,88,100,2.12,VN,1681761317
